,"Gross domestic product 2019, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
CHN,1,,China," 23,460,170 ",
USA,2,,United States," 21,427,700 ",
IND,3,,India," 9,611,679 ",
JPN,4,,Japan," 5,459,155 ",
DEU,5,,Germany," 4,659,795 ",
RUS,6,,Russian Federation," 4,281,807 ",
IDN,7,,Indonesia," 3,329,169 ",
FRA,8,,France," 3,315,118 ",
GBR,9,,United Kingdom," 3,255,484 ",
BRA,10,,Brazil," 3,220,373 ",
ITA,11,,Italy," 2,664,946 ",
MEX,12,,Mexico," 2,603,907 ",
TUR,13,,Turkey," 2,325,617 ",
KOR,14,,"Korea, Rep."," 2,224,985 ",
ESP,15,,Spain," 1,987,305 ",
CAN,16,,Canada," 1,929,897 ",
SAU,17,,Saudi Arabia," 1,676,022 ",
AUS,18,,Australia," 1,352,432 ",
THA,19,,Thailand," 1,338,781 ",
POL,20,,Poland," 1,299,277 ",
EGY,21,,"Egypt, Arab Rep."," 1,229,832 ",
IRN,22,,"Iran, Islamic Rep."," 1,172,666 ",
NGA,23,,Nigeria," 1,074,822 ",
PAK,24,,Pakistan," 1,057,896 ",
NLD,25,,Netherlands," 1,034,543 ",
ARG,26,,Argentina," 1,031,215 ",
PHL,27,,Philippines," 1,003,038 ",
MYS,28,,Malaysia," 943,336 ",
VNM,29,,Vietnam," 807,817 ",
BGD,30,,Bangladesh," 807,200 ",
COL,31,,Colombia," 787,497 ",
ZAF,32,,South Africa," 761,206 ",
ARE,33,,United Arab Emirates," 682,969 ",
BEL,34,,Belgium," 626,400 ",
ROU,35,,Romania," 625,164 ",
CHE,36,,Switzerland," 608,721 ",
SGP,37,,Singapore," 578,204 ",
SWE,38,,Sweden," 574,078 ",
UKR,39,,Ukraine," 560,702 ",
AUT,40,,Austria," 524,728 ",
DZA,41,,Algeria," 508,891 ",
KAZ,42,,Kazakhstan," 508,088 ",
CHL,43,,Chile," 476,738 ",
HKG,44,,"Hong Kong SAR, China"," 468,275 ",
CZE,45,,Czech Republic," 454,269 ",
IRQ,46,,Iraq," 445,464 ",
IRL,47,,Ireland," 436,037 ",
PER,48,,Peru," 435,002 ",
ISR,49,,Israel," 381,993 ",
PRT,50,,Portugal," 374,533 ",
NOR,51,,Norway," 357,410 ",
DNK,52,,Denmark," 348,125 ",
GRC,53,,Greece," 336,486 ",
HUN,54,,Hungary," 331,973 ",
LKA,55,,Sri Lanka," 296,959 ",
MAR,56,,Morocco," 289,993 ",c
MMR,57,,Myanmar," 289,428 ",
FIN,58,,Finland," 283,324 ",
QAT,59,,Qatar," 273,269 ",
ETH,60,,Ethiopia," 259,093 ",
UZB,61,,Uzbekistan," 244,761 ",a
KEN,62,,Kenya," 237,073 ",
AGO,63,,Angola," 220,539 ",
KWT,64,,Kuwait," 218,398 ",
NZL,65,,New Zealand," 216,115 ",
DOM,66,,Dominican Republic," 205,999 ",
ECU,67,,Ecuador," 205,822 ",
BLR,68,,Belarus," 188,800 ",
SVK,69,,Slovak Republic," 186,409 ",
SDN,70,,Sudan," 176,499 ",
GHA,71,,Ghana," 171,464 ",
BGR,72,,Bulgaria," 171,333 ",
TZA,73,,Tanzania," 155,993 ",d
AZE,74,,Azerbaijan," 150,358 ",
GTM,75,,Guatemala," 149,362 ",b
OMN,76,,Oman," 144,536 ",
CIV,77,,Côte d'Ivoire," 140,293 ",
PAN,78,,Panama," 139,124 ",
SRB,79,,Serbia," 131,878 ",
TUN,80,,Tunisia," 130,997 ",
HRV,81,,Croatia," 121,917 ",
PRI,82,,Puerto Rico," 114,808 ",a
LBY,83,,Libya," 107,104 ",a
LTU,84,,Lithuania," 106,497 ",
LBN,85,,Lebanon," 105,080 ",a
BOL,86,,Bolivia," 104,609 ",
JOR,87,,Jordan," 104,215 ",
CRI,88,,Costa Rica," 103,144 ",
NPL,89,,Nepal," 101,801 ",
UGA,90,,Uganda," 100,565 ",
COD,91,,"Congo, Dem. Rep."," 99,241 ",
CMR,92,,Cameroon," 98,436 ",
PRY,93,,Paraguay," 93,062 ",
TKM,94,,Turkmenistan," 88,908 ",a
AFG,95,,Afghanistan," 87,251 ",a
SVN,96,,Slovenia," 84,889 ",
MAC,97,,"Macao SAR, China"," 82,683 ",b
URY,98,,Uruguay," 77,732 ",
BHR,99,,Bahrain," 76,958 ",
KHM,100,,Cambodia," 75,355 ",
LUX,101,,Luxembourg," 75,189 ",
ZMB,102,,Zambia," 64,723 ",
LVA,103,,Latvia," 61,600 ",
SLV,104,,El Salvador," 58,984 ",
LAO,105,,Lao PDR," 58,436 ",
GEO,106,,Georgia," 58,174 ",e
HND,107,,Honduras," 58,139 ",
SEN,108,,Senegal," 57,617 ",
BIH,109,,Bosnia and Herzegovina," 52,128 ",
EST,110,,Estonia," 51,486 ",
MLI,111,,Mali," 47,648 ",
BFA,112,,Burkina Faso," 46,340 ",
MDG,113,,Madagascar," 46,237 ",
ZWE,114,,Zimbabwe," 43,255 ",
BWA,115,,Botswana," 42,625 ",
ARM,116,,Armenia," 42,058 ",
ALB,117,,Albania," 41,372 ",
MNG,118,,Mongolia," 41,346 ",
MOZ,119,,Mozambique," 40,494 ",
BEN,120,,Benin," 40,402 ",
PNG,121,,Papua New Guinea," 40,102 ",a
TTO,122,,Trinidad and Tobago," 38,028 ",
MKD,123,,North Macedonia," 37,117 ",
NIC,124,,Nicaragua," 36,859 ",
CYP,125,,Cyprus," 36,377 ",f
MDA,126,,Moldova," 36,075 ",g
KGZ,127,,Kyrgyz Republic," 35,324 ",
GIN,128,,Guinea," 34,103 ",
GAB,129,,Gabon," 33,645 ",
TJK,130,,Tajikistan," 32,808 ",
MUS,131,,Mauritius," 30,304 ",
JAM,132,,Jamaica," 29,972 ",
NER,133,,Niger," 29,595 ",
RWA,134,,Rwanda," 29,275 ",
BRN,135,,Brunei Darussalam," 28,022 ",
PSE,136,,West Bank and Gaza," 26,479 ",
TCD,137,,Chad," 26,234 ",
GNQ,138,,Equatorial Guinea," 26,207 ",
NAM,139,,Namibia," 25,037 ",
MRT,140,,Mauritania," 24,495 ",
MLT,141,,Malta," 22,947 ",
ISL,142,,Iceland," 21,701 ",
XKX,143,,Kosovo," 21,242 ",a
MWI,144,,Malawi," 20,559 ",
HTI,145,,Haiti," 20,280 ",
COG,146,,"Congo, Rep."," 18,481 ",
BHS,147,,"Bahamas, The"," 14,514 ",
MNE,148,,Montenegro," 14,302 ",
SLE,149,,Sierra Leone," 13,982 ",
TGO,150,,Togo," 13,433 ",
FJI,151,,Fiji," 12,840 ",
MDV,152,,Maldives," 10,459 ",
SWZ,153,,Eswatini," 10,388 ",
SUR,154,,Suriname," 9,886 ",
BDI,155,,Burundi," 9,026 ",
BTN,156,,Bhutan," 8,761 ",
GUY,157,,Guyana," 7,910 ",
LBR,158,,Liberia," 7,342 ",
LSO,159,,Lesotho," 6,126 ",
DJI,160,,Djibouti," 5,596 ",
GMB,161,,"Gambia, The"," 5,396 ",
BRB,162,,Barbados," 4,675 ",
CAF,163,,Central African Republic," 4,669 ",
CYM,164,,Cayman Islands," 4,651 ",
TLS,165,,Timor-Leste," 4,206 ",a
CPV,166,,Cabo Verde," 4,108 ",
CUW,167,,Curaçao," 4,086 ",
ABW,168,,Aruba," 4,051 ",
GNB,169,,Guinea-Bissau," 3,980 ",
SYC,170,,Seychelles," 2,954 ",
LCA,171,,St. Lucia," 2,941 ",
BLZ,172,,Belize," 2,848 ",
COM,173,,Comoros," 2,731 ",
ATG,174,,Antigua and Barbuda," 2,216 ",
SMR,175,,San Marino," 2,052 ",a
GRD,176,,Grenada," 2,011 ",
SLB,177,,Solomon Islands," 1,651 ",a
KNA,178,,St. Kitts and Nevis," 1,450 ",
VCT,179,,St. Vincent and the Grenadines," 1,436 ",
WSM,180,,Samoa," 1,338 ",a
SXM,181,,Sint Maarten (Dutch part)," 1,309 ",
TCA,182,,Turks and Caicos Islands," 1,019 ",
VUT,183,,Vanuatu, 982 ,a
DMA,184,,Dominica, 909 ,
STP,185,,São Tomé and Principe, 888 ,
TON,186,,Tonga, 662 ,a
FSM,187,,"Micronesia, Fed. Sts.", 400 ,a
PLW,188,,Palau, 331 ,a
KIR,189,,Kiribati, 279 ,a
MHL,190,,Marshall Islands, 233 ,a
NRU,191,,Nauru, 152 ,a
TUV,192,,Tuvalu, 52 ,a
ASM,,,American Samoa, -   ,
AND,,,Andorra, -   ,
BMU,,,Bermuda, -   ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
FRO,,,Faroe Islands, -   ,
PYF,,,French Polynesia, -   ,
GIB,,,Gibraltar, -   ,
GRL,,,Greenland, -   ,
GUM,,,Guam, -   ,
IMN,,,Isle of Man, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
LIE,,,Liechtenstein, -   ,
MCO,,,Monaco, -   ,
NCL,,,New Caledonia, -   ,
MNP,,,Northern Mariana Islands, -   ,
SOM,,,Somalia, -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
VIR,,,Virgin Islands (U.S.), -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
WLD,,,World," 135,669,545 ",
,,,,,
EAS,,,East Asia & Pacific," 43,169,352 ",
ECS,,,Europe & Central Asia," 33,923,994 ",
LCN,,,Latin America & Caribbean," 10,858,331 ",
MEA,,,Middle East & North Africa," 7,979,217 ",
NAC,,,North America," 23,362,521 ",
SAS,,,South Asia," 11,982,586 ",
SSF,,,Sub-Saharan Africa," 4,338,404 ",
LIC,,,Low income," 1,663,863 ",
LMC,,,Lower middle income," 19,909,278 ",
UMC,,,Upper middle income," 50,047,826 ",
HIC,,,High income," 64,353,876 ",
,,,,,
,".. Not available. PPP is purchasing power parity; an international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States. PPP figures are extrapolated from 2017 benchmark estimates by the International Comparison Program (ICP), unless otherwise footnoted. ",,,,
,"Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for
 2018 or 2017, ranking is approximate.",,,,
,"a. PPP is extrapolated from regression-based estimates for 2017.  b. PPP is extrapolated from revised 2011 benchmark estimates by the ICP.  c. Includes Former Spanish Sahara.   d. Covers mainland Tanzania only.  e. Excludes Abkhazia and South Ossetia.  f. Data are for the area controlled by the government of Cyprus.  g. Excludes Transnistria.				",,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
